Serial_num,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,Unnamed: 16,Unnamed: 17,freq_mism
80128,kangourou,k@guRu,NOM,1,1.85,1.42,1.42,1.15,CVCVCV,CVCCVVCVV,3,9,,,L_0
80841,laminer,lamine,VER,1,0.7,0.44,1.55,0.34,CVCVCV,CVCVCVC,3,7,,,L_0
81076,lapider,lapide,VER,1,0.93,0.27,1.35,0.34,CVCVCV,CVCVCVC,3,7,,,L_0
81820,leucémie,l2semi,NOM,1,1.9,1.72,0.61,0.54,CVCVCV,CVVCVCVV,3,8,,,L_0
81908,léviter,levite,VER,1,0.47,0.46,0.07,0.0,CVCVCV,CVCVCVC,3,7,,,L_0
82220,ligament,ligam@,NOM,1,1.12,0.29,0.47,0.0,CVCVCV,CVCVCVCC,3,8,,,L_0
82256,ligoté,ligote,ADJ,1,0.62,0.29,1.42,0.61,CVCVCV,CVCVCV,3,6,,,L_0
82376,limoger,limoZe,VER,1,0.51,0.18,0.34,0.0,CVCVCV,CVCVCVC,3,7,,,L_0
83740,macaron,makaR§,NOM,1,0.34,0.12,1.35,0.61,CVCVCV,CVCVCVC,3,7,,,L_0
83764,macérer,maseRe,VER,1,0.32,0.23,1.82,0.54,CVCVCV,CVCVCVC,3,7,,,L_0
84243,maisonnée,mEzone,NOM,1,0.33,0.33,1.82,1.76,CVCVCV,CVVCVCCVV,3,9,,,L_0
84739,mandater,m@date,VER,1,1.14,0.02,0.95,0.0,CVCVCV,CVCCVCVC,3,8,,,L_0
85517,mariné,maRine,ADJ,1,0.34,0.18,0.47,0.2,CVCVCV,CVCVCV,3,6,,,L_0
86506,mécontent,mek§t@,NOM,1,0.62,0.18,1.35,0.34,CVCVCV,CVCVCCVCC,3,9,,,L_0
87139,mensonger,m@s§Ze,ADJ,1,1.29,0.29,1.96,0.47,CVCVCV,CVCCVCCVC,3,9,,,L_0
87411,méritant,meRit@,ADJ,1,0.85,0.51,1.89,0.61,CVCVCV,CVCVCVCC,3,8,,,L_0
87725,métisser,metise,VER,1,0.4,0.0,0.34,0.07,CVCVCV,CVCVCCVC,3,8,,,L_0
88471,mimosa,mimoza,ADJ,1,0.46,0.46,0.47,0.47,CVCVCV,CVCVCV,3,6,,,L_0
88869,miséreux,mizeR2,NOM,1,0.9,0.88,1.35,1.35,CVCVCV,CVCVCVVC,3,8,,,L_0
89184,modéré,modeRe,NOM,1,0.45,0.2,1.42,0.47,CVCVCV,CVCVCV,3,6,,,L_0
90337,motivé,motive,ADJ,1,1.43,0.56,0.47,0.14,CVCVCV,CVCVCV,3,6,,,L_0
91955,nébuleux,nebyl2,ADJ,1,0.45,0.38,1.28,0.68,CVCVCV,CVCVCVVC,3,8,,,L_0
92869,nominer,nOmine,VER,1,1.42,0.04,0.34,0.0,CVCVCV,CVCVCVC,3,7,,,L_0
96758,paniqué,panike,ADJ,1,1.52,0.64,1.01,0.54,CVCVCV,CVCVCVV,3,7,,,L_0
96996,papoter,papote,VER,1,1.77,1.16,1.62,0.61,CVCVCV,CVCVCVC,3,7,,,L_0
97462,paresser,paRese,VER,1,0.42,0.25,0.95,0.34,CVCVCV,CVCVCCVC,3,8,,,L_0
97563,parité,paRite,NOM,1,0.31,0.31,0.14,0.14,CVCVCV,CVCVCV,3,6,,,L_0
97745,parrainer,paREne,VER,1,0.96,0.26,0.27,0.07,CVCVCV,CVCCVVCVC,3,9,,,L_0
98768,peaufiner,pofine,VER,1,0.67,0.44,1.08,0.34,CVCVCV,CVVVCVCVC,3,9,,,L_0
99089,pélican,pelik@,NOM,1,0.43,0.28,1.28,0.81,CVCVCV,CVCVCVC,3,7,,,L_0
99875,périmer,peRime,VER,1,1.68,0.01,0.54,0.0,CVCVCV,CVCVCVC,3,7,,,L_0
101289,picoter,pikote,VER,1,0.74,0.01,1.62,0.07,CVCVCV,CVCVCVC,3,7,,,L_0
101643,pimenter,pim@te,VER,1,0.82,0.56,0.88,0.27,CVCVCV,CVCVCCVC,3,8,,,L_0
103585,policer,pOlise,VER,1,1.27,0.04,0.61,0.0,CVCVCV,CVCVCVC,3,7,,,L_0
103640,polisson,polis§,ADJ,1,1.06,0.56,0.68,0.34,CVCVCV,CVCVCCVC,3,8,,,L_0
103641,polisson,polis§,NOM,1,1.14,0.83,0.54,0.27,CVCVCV,CVCVCCVC,3,8,,,L_0
103909,pomponner,p§pone,VER,1,0.94,0.32,1.69,0.14,CVCVCV,CVCCVCCVC,3,9,,,L_0
104421,possédé,posede,ADJ,1,0.81,0.28,1.22,0.47,CVCVCV,CVCCVCV,3,7,,,L_0
104599,potager,potaZe,ADJ,1,0.41,0.28,1.35,0.81,CVCVCV,CVCVCVC,3,7,,,L_0
104664,potiron,potiR§,NOM,1,1.08,0.99,0.95,0.61,CVCVCV,CVCVCVC,3,7,,,L_0
109737,racoler,Rakole,VER,1,0.59,0.16,1.42,0.54,CVCVCV,CVCVCVC,3,7,,,L_0
110230,raisonné,REzone,ADJ,1,0.51,0.5,0.68,0.27,CVCVCV,CVVCVCCV,3,8,,,L_0
110419,rallonger,Ral§Ze,VER,1,1.45,0.56,1.35,0.27,CVCVCV,CVCCVCCVC,3,9,,,L_0
110497,ramassis,Ramasi,NOM,1,1.5,1.5,1.62,1.62,CVCVCV,CVCVCCVC,3,8,,,L_0
110612,ramolli,Ramoli,ADJ,1,0.44,0.17,1.08,0.14,CVCVCV,CVCVCCV,3,7,,,L_0
110634,ramoner,Ramone,VER,1,0.6,0.17,1.55,0.61,CVCVCV,CVCVCVC,3,7,,,L_0
112471,réchauffé,ReSofe,ADJ,1,1.04,0.73,1.15,0.68,CVCVCV,CVCCVVCCV,3,9,,,L_0
113552,récurrent,RekyR@,ADJ,1,1.38,0.56,0.41,0.07,CVCVCV,CVCVCCVCC,3,9,,,L_0
114618,réfuter,Refyte,VER,1,1.46,0.89,1.69,0.81,CVCVCV,CVCVCVC,3,7,,,L_0
115034,réguler,Regyle,VER,1,0.61,0.28,0.14,0.14,CVCVCV,CVCVCVC,3,7,,,L_0
115858,rembarrer,R@baRe,VER,1,0.68,0.25,0.88,0.34,CVCVCV,CVCCVCCVC,3,9,,,L_0
118200,résident,Rezid@,NOM,1,1.66,0.48,1.49,0.54,CVCVCV,CVCVCVCC,3,8,,,L_0
119775,révélé,Revele,ADJ,1,0.42,0.23,1.49,0.61,CVCVCV,CVCVCV,3,6,,,L_0
121100,romarin,RomaR5,NOM,1,1.47,1.47,1.01,1.01,CVCVCV,CVCVCVC,3,7,,,L_0
122480,safari,safaRi,NOM,1,1.77,1.58,1.28,0.88,CVCVCV,CVCVCV,3,6,,,L_0
122780,salissant,salis@,ADJ,1,0.65,0.62,0.81,0.54,CVCVCV,CVCVCCVCC,3,9,,,L_0
125877,signalé,siNale,ADJ,1,0.66,0.41,0.74,0.41,CVCVCV,CVCCVCV,3,7,,,L_0
126112,simulé,simyle,ADJ,1,0.62,0.3,0.61,0.2,CVCVCV,CVCVCV,3,6,,,L_0
127827,souriceau,suRiso,NOM,1,0.35,0.35,0.41,0.34,CVCVCV,CVVCVCVVV,3,9,,,L_0
128045,soussigné,susiNe,ADJ,1,1.83,1.44,0.61,0.61,CVCVCV,CVVCCVCCV,3,9,,,L_0
131375,suturer,sytyRe,VER,1,0.45,0.38,0.27,0.07,CVCVCV,CVCVCVC,3,7,,,L_0
131563,syndiqué,s5dike,ADJ,1,0.45,0.24,0.61,0.14,CVCVCV,CVCCVCVV,3,8,,,L_0
132046,tambourin,t@buR5,NOM,1,0.56,0.49,1.08,0.47,CVCVCV,CVCCVVCVC,3,9,,,L_0
132064,tamisé,tamize,ADJ,1,0.76,0.02,1.96,0.34,CVCVCV,CVCVCV,3,6,,,L_0
133189,tempéré,t@peRe,ADJ,1,0.34,0.22,1.22,0.54,CVCVCV,CVCCVCV,3,7,,,L_0
134494,toboggan,tobog@,NOM,1,0.86,0.59,1.69,1.22,CVCVCV,CVCVCCVC,3,8,,,L_0
138276,tutorat,tytORa,NOM,1,0.33,0.33,0.0,0.0,CVCVCV,CVCVCVC,3,7,,,L_0
139149,valider,valide,VER,1,1.23,0.72,0.54,0.14,CVCVCV,CVCVCVC,3,7,,,L_0
139772,vendanger,v@d@Ze,VER,1,0.74,0.47,0.2,0.0,CVCVCV,CVCCVCCVC,3,9,,,L_0
139865,vénéré,veneRe,ADJ,1,1.1,0.91,1.62,0.81,CVCVCV,CVCVCV,3,6,,,L_0
139965,ventiler,v@tile,VER,1,0.73,0.23,0.68,0.14,CVCVCV,CVCCVCVC,3,8,,,L_0
141207,virulent,viRyl@,ADJ,1,0.96,0.23,1.62,0.41,CVCVCV,CVCVCVCC,3,8,,,L_0
141510,vivoter,vivote,VER,1,0.47,0.02,1.28,0.14,CVCVCV,CVCVCVC,3,7,,,L_0
122632,saisir,seziR,VER,1,36.81,9.4,135.74,33.78,CVCVC,CVVCVC,2,6,,,H_1
126130,sincère,s5sER,ADJ,1,19.51,15.2,22.5,18.65,CVCVC,CVCCVCV,2,7,,Nb de mots exclus =,H_1
131291,suspect,syspE,ADJ,1,12.95,8.44,16.82,7.77,CVCCV,CVCCVCC,2,7,,7,H_1
32686,courir,kuRiR,VER,1,146.5,47.19,263.38,71.82,CVCVC,CVVCVC,2,6,,53,H_1
126240,sirène,siREn,NOM,1,11.35,8.06,17.5,10.34,CVCVC,CVCVCV,2,6,,,H_1
63203,forcer,fORse,VER,1,64.64,16.33,75.41,18.04,CVCCV,CVCCVC,2,6,,,H_1
46204,doubler,duble,VER,1,15.29,4.65,22.84,4.39,CVCCV,CVVCCVC,2,7,,,H_1
42478,dessert,desER,NOM,1,13.4,11.61,12.57,11.62,CVCVC,CVCCVCC,2,7,,,H_1
131096,surtout,syRtu,ADV,1,148.66,148.66,291.49,291.49,CVCCV,CVCCVVC,2,7,,,H_1
