,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
139815,vendre,v@dR,VER,1,206.95,73.62,92.64,30.81,CVCC,CVCCCV,1,6
139890,vengeance,v@Z@s,NOM,1,28.27,27.85,17.03,15.88,CVCVC,CVCCVVCCV,2,9
139988,ventre,v@tR,NOM,1,46.91,46.07,141.96,136.62,CVCC,CVCCCV,1,6
140408,vertu,vERty,NOM,1,17.75,13.49,38.45,24.05,CVCCV,CVCCV,2,5
140446,veste,vEst,NOM,1,37.72,36.0,61.62,55.68,CVCC,CVCCV,1,5
140456,veston,vEst§,NOM,1,1.68,1.66,16.55,15.27,CVCCV,CVCCVC,2,6
140895,vigueur,vig9R,NOM,1,3.61,3.61,15.61,15.54,CVCVC,CVCVVVC,2,7
140931,village,vilaZ,NOM,1,95.82,87.6,143.99,118.24,CVCVC,CVCCVCV,2,7
140933,villa,villa,NOM,1,16.61,15.3,33.72,24.8,CVCCV,CVCCV,2,5
140971,vingtaine,v5tEn,NOM,1,4.11,4.11,15.47,15.34,CVCVC,CVCCCVVCV,2,9
141208,virus,viRys,NOM,1,23.98,23.98,6.42,6.42,CVCVC,CVCVC,2,5
141210,visage,vizaZ,NOM,1,141.23,125.52,565.0,490.54,CVCVC,CVCVCV,2,6
141320,visite,vizit,NOM,1,99.95,86.34,99.32,80.61,CVCVC,CVCVCV,2,6
141390,vitesse,vitEs,NOM,1,40.12,37.89,57.84,54.59,CVCVC,CVCVCCV,2,7
141417,vitre,vitR,NOM,1,16.35,10.21,76.22,41.28,CVCC,CVCCV,1,5
141521,vivre,vivR,VER,1,510.19,218.52,460.34,186.82,CVCC,CVCCV,1,5
141573,vodka,vOdka,NOM,1,17.07,16.93,8.31,8.24,CVCCV,CVCCV,2,5
141772,voleur,vol9R,NOM,1,68.18,41.39,22.7,11.15,CVCVC,CVCVVC,2,6
141842,volume,volym,NOM,1,6.48,5.45,27.84,16.35,CVCVC,CVCVCV,2,6
141869,vomir,vomiR,VER,1,26.12,13.75,23.31,11.62,CVCVC,CVCVC,2,5
141944,vôtres,votR,PRO:pos,1,12.14,12.14,4.39,4.39,CVCC,CVCCVC,1,6
141945,votre,vOtR,ADJ:pos,1,1894.09,1894.09,427.91,427.91,CVCC,CVCCV,1,5
141948,vôtre,votR,PRO:pos,1,33.05,33.05,11.69,11.69,CVCC,CVCCV,1,5
