,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
66924,génome,Zenom,NOM,1,0.63,0.63,0.0,0.0,CVCVC,CVCVCV,2,6
67052,gerber,ZERbe,VER,1,8.28,6.49,4.66,2.64,CVCCV,CVCCVC,2,6
67101,germain,ZERm5,ADJ,1,1.38,0.91,2.23,0.88,CVCCV,CVCCVVC,2,7
67131,germer,ZERme,VER,1,1.02,0.23,3.04,1.01,CVCCV,CVCCVC,2,6
67153,gésir,ZeziR,VER,1,4.77,0.02,15.68,0.07,CVCVC,CVCVC,2,5
67234,gicler,Zikle,VER,1,3.68,0.76,7.97,2.16,CVCCV,CVCCVC,2,6
67258,gifler,Zifle,VER,1,6.77,1.96,15.88,4.05,CVCCV,CVCCVC,2,6
67323,girafe,ZiRaf,NOM,1,3.5,2.71,3.18,1.89,CVCVC,CVCVCV,2,6
67406,givrer,ZivRe,VER,1,1.59,0.01,1.35,0.14,CVCCV,CVCCVC,2,6
67410,givré,ZivRe,ADJ,1,1.52,1.0,2.23,0.61,CVCCV,CVCCV,2,5
67821,godasse,godas,NOM,1,2.99,0.46,8.92,1.55,CVCVC,CVCVCCV,2,7
67968,gondole,g§dOl,NOM,1,1.26,1.01,4.93,3.31,CVCVC,CVCCVCV,2,7
68005,gonflé,g§fle,ADJ,1,3.56,1.52,12.64,3.65,CVCCV,CVCCCV,2,6
68015,gonfler,g§fle,VER,1,16.52,3.17,47.57,5.68,CVCCV,CVCCCVC,2,7
68035,gonzesse,g§zEs,NOM,1,11.29,7.74,15.61,7.57,CVCVC,CVCCVCCV,2,8
68053,gorgée,gORZe,NOM,1,5.7,4.97,20.27,13.31,CVCCV,CVCCVV,2,6
68067,gorger,gORZe,VER,1,1.52,0.03,8.04,0.47,CVCCV,CVCCVC,2,6
68090,gothique,gotik,ADJ,1,0.99,0.89,6.55,3.85,CVCVC,CVCCVCVV,2,8
68091,gothique,gotik,NOM,1,0.66,0.57,1.49,1.35,CVCVC,CVCCVCVV,2,8
68115,goudron,gudR§,NOM,1,3.4,3.4,7.64,7.5,CVCCV,CVVCCVC,2,7
68159,goulette,gulEt,NOM,1,0.94,0.94,0.14,0.14,CVCVC,CVVCVCCV,2,8
68202,gourdin,guRd5,NOM,1,1.59,1.51,2.84,1.82,CVCCV,CVVCCVC,2,7
68231,gourmand,guRm@,ADJ,1,2.79,1.81,9.86,4.53,CVCCV,CVVCCVCC,2,8
